"","name","ranking","lon","lat","type","loctype","address","north","south","east","west","establishment","route","locality","administrative_area_level_2","administrative_area_level_1","country","postal_code","street_number","premise","subpremise","cafe","colloquial_area"
"89","Southbank Theatre",89,144.9681495,-37.8241845,"establishment","rooftop","140 southbank blvd, southbank vic 3006, australia",-37.8228355197085,-37.8255334802915,144.969498480291,144.966800519708,NA,"Southbank Boulevard","Southbank","Melbourne City","Victoria","Australia","3006","140",NA,NA,NA,NA
"90","Coops Shot Tower",90,144.9630346,-37.8103837,"establishment","rooftop","melbourne central shopping centre, la trobe st & swanston street, melbourne vic 3004, australia",-37.8090347197085,-37.8117326802915,144.964383580291,144.961685619709,NA,"La Trobe Street","Melbourne","Melbourne City","Victoria","Australia","3004",NA,"Melbourne Central Shopping Centre",NA,NA,NA
"91","Bourke Street Mall",91,144.9645134,-37.8138541,"establishment","rooftop","231 victoria road, melbourne vic 3000, australia",-37.8125051197085,-37.8152030802915,144.965862380291,144.963164419709,NA,"Victoria Road","Melbourne","Melbourne City","Victoria","Australia","3000","231",NA,NA,NA,NA
"92","Parliament Gardens",92,144.9735753,-37.8095276,"establishment","rooftop","parliament gardens, 489/531 albert st, east melbourne vic 3002, australia",-37.8081786197085,-37.8108765802915,144.974924280292,144.972226319709,"Parliament Gardens","Albert Street","East Melbourne","Melbourne City","Victoria","Australia","3002","531",NA,"489",NA,NA
"93","Galactic Circus",93,144.958172,-37.824895,"amusement_park","rooftop","crown entertainment complex, 8 whiteman st, southbank vic 3006, australia",-37.8235460197085,-37.8262439802915,144.959520980292,144.956823019709,NA,"Whiteman Street","Southbank","Melbourne City","Victoria","Australia","3006","8","Crown Entertainment Complex",NA,NA,NA
"94","St Francis Church",94,144.9622413,-37.8116837,"church","rooftop","326 little lonsdale st, melbourne vic 3000, australia",-37.8103347197085,-37.8130326802915,144.963590280291,144.960892319709,NA,"Little Lonsdale Street","Melbourne","Melbourne City","Victoria","Australia","3000","326",NA,NA,NA,NA
"95","City Square",95,144.9665042,-37.815961,"establishment","rooftop","67 swanston st, melbourne vic 3000, australia",-37.8146120197085,-37.8173099802915,144.967853180292,144.965155219708,NA,"Swanston Street","Melbourne","Melbourne City","Victoria","Australia","3000","67",NA,NA,NA,NA
"96","HMAS Castlemaine",96,144.905685,-37.8610801,"establishment","rooftop","gem pier, syme st, williamstown vic 3016, australia",-37.8597311197085,-37.8624290802915,144.907033980291,144.904336019708,NA,"Syme Street","Williamstown",NA,"Victoria","Australia","3016",NA,"Gem Pier",NA,NA,NA
"97","Scots Church",97,144.9685126,-37.8146055,"church","rooftop","156 collins st, melbourne vic 3000, australia",-37.8132565197085,-37.8159544802915,144.969861580292,144.967163619708,NA,"Collins Street","Melbourne","Melbourne City","Victoria","Australia","3000","156",NA,NA,NA,NA
"98","Fire Services Musuem of Victoria",98,144.9754108,-37.8085417,"establishment","rooftop","39 gisborne st, east melbourne vic 3002, australia",-37.8071927197085,-37.8098906802915,144.976759780292,144.974061819709,NA,"Gisborne Street","East Melbourne","Melbourne City","Victoria","Australia","3002","39",NA,NA,NA,NA
"99","Alexandra Gardens",99,144.9721849,-37.8204421,"establishment","rooftop","alexandra gardens, 3 boathouse dr, melbourne vic 3004, australia",-37.8190931197085,-37.8217910802915,144.973533880292,144.970835919708,"Alexandra Gardens","Boathouse Drive","Melbourne","Melbourne City","Victoria","Australia","3004","3",NA,NA,NA,NA
"100","Manchester Unity Building",100,144.9663323,-37.8153866,"establishment","rooftop","220 swanston st, melbourne vic 3000, australia",-37.8140376197085,-37.8167355802915,144.967681280291,144.964983319708,NA,"Swanston Street","Melbourne","Melbourne City","Victoria","Australia","3000","220",NA,NA,NA,NA
